"",4534,Astra,2025,DIESEL,4,economy,SERIAL123,25.5,about
Haifa,"",Astra,2025,DIESEL,4,economy,SERIAL123,25.5,about
Haifa,4534,"",2025,DIESEL,4,economy,SERIAL123,25.5,about
Haifa,4534,Astra,"",DIESEL,4,economy,SERIAL123,25.5,about
Haifa,4534,Astra,-1,DIESEL,4,economy,SERIAL123,25.5,about
Haifa,4534,Astra,2025,UNKNOWN,4,economy,SERIAL123,25.5,about
Haifa,4534,Astra,2025,DIESEL,-1,economy,SERIAL123,25.5,about
Haifa,4534,Astra,2025,DIESEL,1,economy,SERIAL123,25.5,about
Haifa,4534,Astra,2025,DIESEL,2,"",SERIAL123,25.5,about
Haifa,4534,Astra,2025,DIESEL,2,A,"",25.5,about
Haifa,4534,Astra,2025,DIESEL,2,A,SERIAL123,"",about
Haifa,4534,Astra,2025,DIESEL,2,A,SERIAL123,-1.3,about
